player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Precious Achiuwa|PF-C|24|TOT|74|1624|14.6|0.545|0.207|0.239|13|20.5|16.7|8.4|1.4|3.9|13.8|15.9|1.2|2.2|3.4|0.102|-1.7|0.3|-1.4|0.2
Bam Adebayo|C|26|MIA|71|2416|19.8|0.576|0.041|0.381|7.4|27.3|17.3|18.9|1.7|2.7|12|24.9|2.9|4.3|7.2|0.144|0.8|1.7|2.4|2.7
Ochai Agbaji|SG|23|TOT|78|1641|7.7|0.497|0.487|0.129|4.9|9.6|7.2|6.6|1.4|2.4|12.3|13.4|-0.5|0.6|0.1|0.002|-3.5|-0.9|-4.4|-1
Santi Aldama|PF|23|MEM|61|1618|13.1|0.539|0.535|0.153|4.7|19.7|11.9|13.3|1.3|3.1|10.2|17.9|0.4|2|2.4|0.07|-0.7|0.4|-0.2|0.7
Nickeil Alexander-Walker|SG|25|MIN|82|1921|10.9|0.578|0.623|0.121|2.2|7.5|4.9|14.5|1.6|1.9|11.8|14.8|1.5|2.8|4.3|0.107|-1.1|1.3|0.2|1.1
Grayson Allen|SG|28|PHO|75|2513|13.8|0.679|0.652|0.216|2.3|10.6|6.6|12.1|1.3|1.6|11.3|14.5|4.7|2.2|6.9|0.132|1.1|0.1|1.3|2
Jarrett Allen|C|25|CLE|77|2442|21.8|0.664|0.007|0.383|11.3|25.8|18.7|13.2|1.1|3|11.2|19.4|6.8|3.9|10.7|0.21|2.1|0.9|3|3.1
Timmy Allen|SF|24|MEM|5|125|0.8|0.272|0.304|0.087|3.4|11.8|7.4|5.4|1.6|0|7.7|8.9|-0.2|0.1|-0.1|-0.041|-10.3|-0.7|-11.1|-0.3
Jose Alvarado|PG|25|NOP|56|1028|12.5|0.54|0.6|0.151|2.7|11|6.9|15.3|2.8|1.4|9.8|17.3|0.6|1.5|2.1|0.097|-1.5|1.5|-0.1|0.5
Kyle Anderson|PF|30|MIN|79|1782|12.7|0.513|0.111|0.316|4|13|8.7|25|2|2.3|15.6|14.5|1.4|3.1|4.5|0.121|-1.6|2.7|1.1|1.4
Giannis Antetokounmpo|PF|29|MIL|73|2567|29.9|0.649|0.091|0.571|8.6|27|17.9|32.7|1.6|2.6|12.7|33|9.5|3.7|13.2|0.246|6.7|2.4|9|7.2
Thanasis Antetokounmpo|PF|31|MIL|34|155|5.5|0.518|0.033|0.067|5.1|4.2|4.6|13.9|2.2|2.2|31.2|12.5|-0.2|0.1|0|-0.01|-6.7|0.3|-6.4|-0.2
Cole Anthony|PG|23|ORL|81|1817|14.6|0.545|0.36|0.286|4.1|16.1|10.1|19.8|1.7|1.9|12.8|23.7|0.9|2.7|3.6|0.096|-0.6|0.7|0.1|1
OG Anunoby|SF|26|TOT|50|1702|12.8|0.595|0.463|0.154|3|10.6|6.8|9|2|1.9|11.6|17.6|1.1|1.5|2.6|0.073|-1|0.5|-0.6|0.6
Ryan Arcidiacono|PG|29|NYK|20|45|-2|0|1|0|0|20|10|10.4|2.2|0|25|7.7|-0.1|0.1|-0.1|-0.089|-11.5|1.9|-9.6|-0.1
Deni Avdija|SF|23|WAS|75|2257|14.9|0.597|0.293|0.34|3.9|22.1|12.8|17.8|1.2|1.3|14.8|20.2|1.7|1.5|3.2|0.068|-0.7|-0.2|-0.9|0.6
Deandre Ayton|C|25|POR|55|1784|18.9|0.587|0.013|0.105|10.4|28.9|19.1|8.8|1.5|2.1|11.2|21.1|1.8|2.1|3.9|0.106|0.5|-0.2|0.3|1
Udoka Azubuike|C|24|PHO|16|113|12.3|0.609|0|0.565|11.6|20|16|3.6|0.4|4.7|12.2|12.6|0.1|0.1|0.2|0.1|-3|-0.1|-3.2|0
Ibou Badji|C|21|POR|22|226|8.1|0.623|0|0.545|9.4|16.3|12.6|7.7|0.7|8|35.5|8|0|0.2|0.2|0.046|-7.7|1.9|-5.8|-0.2
Marvin Bagley III|C|24|TOT|50|1053|19.4|0.629|0.056|0.309|13.1|19.2|16.1|8.1|0.9|2.6|11.3|21|2|0.7|2.7|0.122|1|-1.4|-0.4|0.4
Amari Bailey|PG|19|CHO|10|65|9.7|0.425|0.333|0.292|10.1|5.3|7.8|15.2|2.3|0|12.9|21.1|-0.1|0|-0.1|-0.044|-5.2|-3.1|-8.3|-0.1
